Source.Name,Column1,Department.Name,Strategic.Goal,Measure.Title,Measure.Description,Measure.Methodology,Measure.Data.Type,Fiscal.Year,End.Calendar.Year,Target,Mid.Year.Result,Mid.Year.Projection,Full.Year.Result,Data.Notes,post_covid,pre_covid
DeYoung.csv,4050,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of de Young visitors,Number of visitors to the de Young museum.  Museum was closed until Fall 2005.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2017-18,2018,1200000,570232,1050000,993815,,0,1
DeYoung.csv,4051,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of de Young visitors,Number of visitors to the de Young museum.  Museum was closed until Fall 2005.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2018-19,2019,1100000,421011,1100000,1120025,,0,1
DeYoung.csv,4052,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of de Young visitors,Number of visitors to the de Young museum.  Museum was closed until Fall 2005.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2019-20,2020,1000000,,,521392,,0,0
DeYoung.csv,4053,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of de Young visitors,Number of visitors to the de Young museum.  Museum was closed until Fall 2005.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2020-21,2021,1100000,,225000,269058,,0,0
DeYoung.csv,4054,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of de Young visitors,Number of visitors to the de Young museum.  Museum was closed until Fall 2005.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2021-22,2022,525000,214000,450000,504007,,1,0
DeYoung.csv,4055,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of de Young visitors,Number of visitors to the de Young museum.  Museum was closed until Fall 2005.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2022-23,2023,750000,510721,750000,1066221,Ramses popularity,1,0
DeYoung.csv,4056,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of de Young visitors,Number of visitors to the de Young museum.  Museum was closed until Fall 2005.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2023-24,2024,1000000,437630,1000000,859246,No public data notes.,1,0
DeYoung.csv,4057,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of de Young visitors,Number of visitors to the de Young museum.  Museum was closed until Fall 2005.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2024-25,2025,1000000,363875,800000,778137,Weaker exhibition attendance than expected.,1,0
DeYoung.csv,4058,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of de Young visitors,Number of visitors to the de Young museum.  Museum was closed until Fall 2005.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2025-26,2026,1000000,,,,No public data notes.,1,0
DeYoung.csv,4059,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of de Young visitors,Number of visitors to the de Young museum.  Museum was closed until Fall 2005.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2026-27,2027,900000,,,,No public data notes.,1,0
LegionOfHonor.csv,4060,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2012-13,2013,300000,150049,,307780,,0,1
LegionOfHonor.csv,4061,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2013-14,2014,317500,227346,,448210,,0,1
LegionOfHonor.csv,4062,FINE ARTS MUSEUM,Lead as two of the major museums on the West Coast,Number of Legion of Honor visitors,Number of visitors to the Legion of Honor.,"Collection Method: Door count. Fine Arts Museums. Timing:  Daily, weekly, monthly, annually.",Numeric,FY2014-15,2015,347276,172499,347276,338784,,0,1
